date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:30	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Sep%202025%2005:57:29%20GMT	https://ugc-blue.vercel.app/robots.txt		(from )
14:57:31	14282/14282	---MCZ	200	added ('OK')	text/html	etag:W/%224f447e47777d486c546b1291bb57b763%22	https://ugc-blue.vercel.app/	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/index.html	(from )
14:57:32	12578/12578	---MCZ	200	added ('OK')	text/css	etag:W/%2202eef87e756f77d35e5e467a24bc1b66%22	https://ugc-blue.vercel.app/styles.css	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/styles.css	(from https://ugc-blue.vercel.app/)
14:57:33	92994/92994	---M--	200	added ('OK')	image/jpeg	etag:%22cc1608b036b897e260d283e353f4a591%22	https://ugc-blue.vercel.app/hero-main.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/hero-main.jpg	(from https://ugc-blue.vercel.app/)
14:58:30	10953170/10953170	---M--	200	added ('OK')	image/jpeg	etag:%222788e86b86452ca5d93a0281c1b13e87%22	https://ugc-blue.vercel.app/event-1.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/event-1.jpg	(from https://ugc-blue.vercel.app/)
14:58:43	21441461/21441461	---M--	200	added ('OK')	image/jpeg	etag:%22a2300a86ecd4b19b539975f3590abfa8%22	https://ugc-blue.vercel.app/event-2.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/event-2.jpg	(from https://ugc-blue.vercel.app/)
14:58:44	11460782/11460782	---M--	200	added ('OK')	image/jpeg	etag:%2293eb749b94d443165a2296b2e6ade074%22	https://ugc-blue.vercel.app/customer-1.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/customer-1.jpg	(from https://ugc-blue.vercel.app/)
14:58:46	20954667/20954667	---M--	200	added ('OK')	image/jpeg	etag:%222326efa401c6e7d45a2b96920e861661%22	https://ugc-blue.vercel.app/event-3.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/event-3.jpg	(from https://ugc-blue.vercel.app/)
14:58:49	11753/11753	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f327c92144a962b1050585613b62b5ab%22	https://ugc-blue.vercel.app/script.js	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/script.js	(from https://ugc-blue.vercel.app/)
14:58:50	6469236/6469236	---M--	200	added ('OK')	image/jpeg	etag:%22bb3a6a920ed1c1f4d325e4bbb84da91a%22	https://ugc-blue.vercel.app/customer-4.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/customer-4.jpg	(from https://ugc-blue.vercel.app/)
14:58:53	18307515/18307515	---M--	200	added ('OK')	image/jpeg	etag:%22ad793843a3e91f37f7d80761c1b1cb8e%22	https://ugc-blue.vercel.app/customer-2.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/customer-2.jpg	(from https://ugc-blue.vercel.app/)
14:58:55	12403578/12403578	---M--	200	added ('OK')	image/jpeg	etag:%226cfd9e2cb401b787bedae5db7d2cc919%22	https://ugc-blue.vercel.app/customer-3.jpg	/Users/kousaiyamamoto/LuzLim-UGC/ugc-blue.vercel.app/customer-3.jpg	(from https://ugc-blue.vercel.app/)
